Rapor Tarihi (YYYYMMDD),Rapor Saati (HHMM),İstasyon Kodu,Gözlem Zamanı (UTC),Hava Durumu,Bulut Durumu,Sıcaklık ve Çiy Noktası (°C),Barometrik Basınç (hPa)
20241113,0932,LTFJ,130932Z,-SHRA,FEW019 SCT035 BKN100,16/11,1024
20241113,0920,LTFJ,130920Z,,FEW019 SCT035 BKN100,16/11,1024
20241113,0850,LTFJ,130850Z,,FEW019 SCT035 BKN100,16/11,1024
20241113,0820,LTFJ,130820Z,,FEW035 BKN100,15/11,1024
20241113,0750,LTFJ,130750Z,,FEW035 BKN100,15/10,1024
20241113,0720,LTFJ,130720Z,,FEW035 BKN100,15/10,1024
20241113,0650,LTFJ,130650Z,,FEW035 BKN100,14/10,1024
20241113,0620,LTFJ,130620Z,,SCT035 BKN100,13/10,1024
20241113,0550,LTFJ,130550Z,,SCT035 BKN100,13/10,1024
20241113,0520,LTFJ,130520Z,,SCT035 BKN100,12/10,1024
20241113,0450,LTFJ,130450Z,,SCT035 BKN100,12/10,1024
20241113,0420,LTFJ,130420Z,,FEW035 BKN100,12/10,1023
20241113,0350,LTFJ,130350Z,,FEW035 BKN100,12/10,1024
20241113,0320,LTFJ,130320Z,,FEW035 BKN100,12/10,1023
20241113,0250,LTFJ,130250Z,,FEW035 BKN100,11/10,1023
20241113,0220,LTFJ,130220Z,,FEW035 BKN100,11/10,1023
20241113,0150,LTFJ,130150Z,,FEW035 SCT200,11/10,1023
20241113,0120,LTFJ,130120Z,,FEW035 SCT200,11/09,1024
20241113,0050,LTFJ,130050Z,,FEW035 SCT200,11/10,1024
20241113,0020,LTFJ,130020Z,,FEW035 SCT200,11/10,1024
20241112,2350,LTFJ,122350Z,,FEW035 SCT200,11/10,1024
20241112,2320,LTFJ,122320Z,,FEW035 SCT200,11/10,1024
20241112,2250,LTFJ,122250Z,,FEW035 SCT200,11/10,1024
20241112,2220,LTFJ,122220Z,,FEW035 SCT200,12/10,1024
20241112,2150,LTFJ,122150Z,,SCT035 BKN200,12/10,1024
20241112,2120,LTFJ,122120Z,,SCT035 BKN200,12/10,1024
20241112,2050,LTFJ,122050Z,,SCT035 BKN200,13/10,1024
20241112,2020,LTFJ,122020Z,,SCT035 BKN200,13/10,1024
20241112,1950,LTFJ,121950Z,,SCT035 BKN200,13/10,1024
20241112,1920,LTFJ,121920Z,,SCT030 BKN200,13/10,1024
20241112,1850,LTFJ,121850Z,,SCT030 BKN200,13/10,1024
20241112,1820,LTFJ,121820Z,,SCT030 BKN200,13/11,1024
20241112,1750,LTFJ,121750Z,,SCT030 BKN200,13/11,1024
20241112,1720,LTFJ,121720Z,,SCT030 BKN200,13/11,1024
20241112,1650,LTFJ,121650Z,,SCT030 BKN200,13/11,1024
20241112,1620,LTFJ,121620Z,,SCT030 BKN200,14/11,1024
20241112,1550,LTFJ,121550Z,,SCT030 BKN200,14/11,1024
20241112,1520,LTFJ,121520Z,,BKN026,14/11,1024
20241112,1450,LTFJ,121450Z,,BKN026,14/11,1023
20241112,1420,LTFJ,121420Z,,BKN026,15/10,1023
20241112,1350,LTFJ,121350Z,,BKN026,15/10,1023
20241112,1320,LTFJ,121320Z,,BKN026,16/11,1023
20241112,1250,LTFJ,121250Z,,BKN026,16/11,1023
20241112,1220,LTFJ,121220Z,,SCT026,17/11,1022
20241112,1150,LTFJ,121150Z,,SCT026,18/11,1023
20241112,1120,LTFJ,121120Z,,SCT026,17/10,1023
20241112,1050,LTFJ,121050Z,,SCT025,16/10,1023
20241112,1020,LTFJ,121020Z,,SCT025,17/11,1023
20241112,0950,LTFJ,120950Z,,FEW018 BKN025,16/11,1023
20241112,0920,LTFJ,120920Z,,FEW018 BKN025,15/11,1023
20241112,0850,LTFJ,120850Z,,SCT017 BKN022,16/11,1024
20241112,0820,LTFJ,120820Z,,SCT015 BKN022,16/11,1024
20241112,0750,LTFJ,120750Z,,SCT015 BKN022,15/11,1024
20241112,0720,LTFJ,120720Z,,BKN018,15/11,1024
20241112,0650,LTFJ,120650Z,,BKN018,14/11,1024
20241112,0620,LTFJ,120620Z,,FEW017 SCT030,13/11,1023
20241112,0550,LTFJ,120550Z,,BKN025,12/10,1023
20241112,0520,LTFJ,120520Z,,BKN025,12/10,1023
20241112,0450,LTFJ,120450Z,,BKN025,12/10,1023
20241112,0420,LTFJ,120420Z,,SCT025,12/10,1023
20241112,0350,LTFJ,120350Z,,SCT035,12/10,1023
20241112,0320,LTFJ,120320Z,,SCT035,12/10,1022
20241112,0250,LTFJ,120250Z,,SCT035,12/10,1022
20241112,0220,LTFJ,120220Z,,SCT035,12/10,1022
20241112,0150,LTFJ,120150Z,,SCT035,12/10,1022
20241112,0120,LTFJ,120120Z,,BKN021,12/10,1022
20241112,0050,LTFJ,120050Z,,BKN017,12/10,1023
20241112,0020,LTFJ,120020Z,,FEW015 BKN025,13/10,1023
20241111,2350,LTFJ,112350Z,,FEW015 BKN025,13/10,1023
20241111,2320,LTFJ,112320Z,,FEW015 BKN025,13/10,1023
20241111,2250,LTFJ,112250Z,,FEW015 BKN025,13/10,1023
20241111,2220,LTFJ,112220Z,,FEW015 BKN025,13/10,1023
20241111,2150,LTFJ,112150Z,,FEW015 BKN025,13/10,1023
20241111,2120,LTFJ,112120Z,,FEW015 BKN025,13/10,1023
20241111,2050,LTFJ,112050Z,,FEW015 BKN025,13/10,1023
20241111,2020,LTFJ,112020Z,,SCT025,13/11,1023
20241111,1950,LTFJ,111950Z,,SCT025,13/11,1023
20241111,1920,LTFJ,111920Z,,SCT025,13/11,1023
20241111,1850,LTFJ,111850Z,,SCT035 BKN080,13/11,1023
20241111,1820,LTFJ,111820Z,,SCT035 BKN080,13/11,1023
20241111,1750,LTFJ,111750Z,,SCT035 BKN080,13/11,1023
20241111,1720,LTFJ,111720Z,,SCT035 BKN080,13/11,1022
20241111,1650,LTFJ,111650Z,,SCT030 BKN080,13/10,1022
20241111,1620,LTFJ,111620Z,,SCT030 BKN080,13/10,1022
20241111,1550,LTFJ,111550Z,,SCT030 BKN080,14/10,1022
20241111,1520,LTFJ,111520Z,,BKN028,15/10,1022
20241111,1450,LTFJ,111450Z,,BKN028,15/09,1022
20241111,1420,LTFJ,111420Z,,BKN028,16/09,1022
20241111,1350,LTFJ,111350Z,,BKN028,15/11,1021
20241111,1320,LTFJ,111320Z,,BKN028,16/11,1021
20241111,1250,LTFJ,111250Z,,BKN028,16/11,1021
20241111,1220,LTFJ,111220Z,,BKN028,16/11,1021
20241111,1150,LTFJ,111150Z,,BKN028,17/11,1021
20241111,1120,LTFJ,111120Z,,BKN026,17/09,1021
20241111,1050,LTFJ,111050Z,,BKN024,17/11,1021
20241111,1020,LTFJ,111020Z,,SCT010 BKN025,16/11,1022
20241111,0950,LTFJ,110950Z,,SCT010 BKN025,16/11,1022
20241111,0920,LTFJ,110920Z,,SCT010 BKN025,16/11,1022
20241111,0850,LTFJ,110850Z,,SCT010 BKN025,16/10,1022
20241111,0820,LTFJ,110820Z,,SCT010 BKN025,15/11,1022
20241111,0750,LTFJ,110750Z,,SCT010 BKN025,14/11,1022
20241111,0720,LTFJ,110720Z,,SCT010 BKN025,14/11,1022
20241111,0650,LTFJ,110650Z,,SCT010 BKN025,13/11,1022
20241111,0620,LTFJ,110620Z,,SCT010 BKN025,13/11,1022
20241111,0550,LTFJ,110550Z,,SCT010 BKN035,12/11,1022
20241111,0520,LTFJ,110520Z,,SCT009 BKN035,12/10,1022
20241111,0450,LTFJ,110450Z,,SCT009 BKN035,12/10,1022
20241111,0420,LTFJ,110420Z,,SCT009 BKN035,12/10,1022
20241111,0350,LTFJ,110350Z,,SCT009 BKN035,11/10,1021
20241111,0320,LTFJ,110320Z,,SCT011 BKN035,11/10,1021
20241111,0250,LTFJ,110250Z,,SCT009 BKN035,09/08,1021
20241111,0220,LTFJ,110220Z,,SCT011 BKN035,10/09,1021
20241111,0150,LTFJ,110150Z,,SCT011 BKN035,12/10,1021
20241111,0120,LTFJ,110120Z,,SCT013 BKN035,11/10,1021
20241111,0050,LTFJ,110050Z,,SCT010 BKN035,11/10,1021
20241111,0020,LTFJ,110020Z,,SCT011 BKN035,12/10,1021
